talhao,idade,prescrição,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,VPL
1,1,1,0,0,0,0,4532,0,0,0,0,4532,0,0,0,0,4532,0,14703
1,1,4,0,0,0,0,4532,0,0,0,0,4532,0,0,0,0,0,5148,34285
1,1,7,0,0,0,0,4532,0,0,0,0,4532,0,0,0,0,0,0,61416
1,1,10,0,0,0,0,4532,0,0,0,0,0,5148,0,0,0,0,4532,34953
1,1,13,0,0,0,0,4532,0,0,0,0,0,5148,0,0,0,0,0,64729
1,1,19,0,0,0,0,4532,0,0,0,0,0,0,5632,0,0,0,0,61459
1,1,28,0,0,0,0,0,5148,0,0,0,0,4532,0,0,0,0,4532,35934
1,1,31,0,0,0,0,0,5148,0,0,0,0,4532,0,0,0,0,0,65710
1,1,37,0,0,0,0,0,5148,0,0,0,0,0,5148,0,0,0,0,66327
1,1,46,0,0,0,0,0,5148,0,0,0,0,0,0,5632,0,0,0,16464
1,1,55,0,0,0,0,0,0,5632,0,0,0,0,4532,0,0,0,0,61522
1,1,64,0,0,0,0,0,0,5632,0,0,0,0,0,5148,0,0,0,15257
1,1,73,0,0,0,0,0,0,5632,0,0,0,0,0,0,5632,0,0,9180
2,1,1,0,0,0,0,6468,0,0,0,0,6468,0,0,0,0,6468,0,-3180
2,1,4,0,0,0,0,6468,0,0,0,0,6468,0,0,0,0,0,7392,26032
2,1,7,0,0,0,0,6468,0,0,0,0,6468,0,0,0,0,0,0,67402
2,1,10,0,0,0,0,6468,0,0,0,0,0,7392,0,0,0,0,6468,27645
2,1,13,0,0,0,0,6468,0,0,0,0,0,7392,0,0,0,0,0,72502
2,1,19,0,0,0,0,6468,0,0,0,0,0,0,8151,0,0,0,0,68870
2,1,28,0,0,0,0,0,7392,0,0,0,0,6468,0,0,0,0,6468,30014
2,1,31,0,0,0,0,0,7392,0,0,0,0,6468,0,0,0,0,0,74871
2,1,37,0,0,0,0,0,7392,0,0,0,0,0,7392,0,0,0,0,76363
2,1,46,0,0,0,0,0,7392,0,0,0,0,0,0,8151,0,0,0,6502
2,1,55,0,0,0,0,0,0,8151,0,0,0,0,6468,0,0,0,0,71029
2,1,64,0,0,0,0,0,0,8151,0,0,0,0,0,7392,0,0,0,5912
2,1,73,0,0,0,0,0,0,8151,0,0,0,0,0,0,8151,0,0,-1051
3,1,1,0,0,0,0,6192,0,0,0,0,6192,0,0,0,0,6192,0,-69861
3,1,4,0,0,0,0,6192,0,0,0,0,6192,0,0,0,0,0,7236,-37704
3,1,7,0,0,0,0,6192,0,0,0,0,6192,0,0,0,0,0,0,8605
3,1,10,0,0,0,0,6192,0,0,0,0,0,7236,0,0,0,0,6192,-34077
3,1,13,0,0,0,0,6192,0,0,0,0,0,7236,0,0,0,0,0,16077
3,1,19,0,0,0,0,6192,0,0,0,0,0,0,8100,0,0,0,0,13783
3,1,28,0,0,0,0,0,7236,0,0,0,0,6192,0,0,0,0,6192,-28751
3,1,31,0,0,0,0,0,7236,0,0,0,0,6192,0,0,0,0,0,21403
3,1,37,0,0,0,0,0,7236,0,0,0,0,0,7236,0,0,0,0,24760
3,1,46,0,0,0,0,0,7236,0,0,0,0,0,0,8100,0,0,0,-39334
3,1,55,0,0,0,0,0,0,8100,0,0,0,0,6192,0,0,0,0,21391
3,1,64,0,0,0,0,0,0,8100,0,0,0,0,0,7236,0,0,0,-37471
3,1,73,0,0,0,0,0,0,8100,0,0,0,0,0,0,8100,0,0,-40666
4,1,1,0,0,0,0,5134,0,0,0,0,5134,0,0,0,0,5134,0,-121046
4,1,4,0,0,0,0,5134,0,0,0,0,5134,0,0,0,0,0,6154,-90230
4,1,7,0,0,0,0,5134,0,0,0,0,5134,0,0,0,0,0,0,-45899
4,1,10,0,0,0,0,5134,0,0,0,0,0,6154,0,0,0,0,5134,-85230
4,1,13,0,0,0,0,5134,0,0,0,0,0,6154,0,0,0,0,0,-36731
4,1,19,0,0,0,0,5134,0,0,0,0,0,0,6970,0,0,0,0,-38226
4,1,28,0,0,0,0,0,6154,0,0,0,0,5134,0,0,0,0,5134,-77885
4,1,31,0,0,0,0,0,6154,0,0,0,0,5134,0,0,0,0,0,-29386
4,1,37,0,0,0,0,0,6154,0,0,0,0,0,6154,0,0,0,0,-24757
4,1,46,0,0,0,0,0,6154,0,0,0,0,0,0,6970,0,0,0,-75776
4,1,55,0,0,0,0,0,0,6970,0,0,0,0,5134,0,0,0,0,-26954
4,1,64,0,0,0,0,0,0,6970,0,0,0,0,0,6154,0,0,0,-72302
4,1,73,0,0,0,0,0,0,6970,0,0,0,0,0,0,6970,0,0,-72334
5,1,1,0,0,0,0,6478,0,0,0,0,6478,0,0,0,0,6478,0,-123829
5,1,4,0,0,0,0,6478,0,0,0,0,6478,0,0,0,0,0,7708,-86553
5,1,7,0,0,0,0,6478,0,0,0,0,6478,0,0,0,0,0,0,-33430
5,1,10,0,0,0,0,6478,0,0,0,0,0,7708,0,0,0,0,6478,-81056
5,1,13,0,0,0,0,6478,0,0,0,0,0,7708,0,0,0,0,0,-22907
5,1,19,0,0,0,0,6478,0,0,0,0,0,0,8692,0,0,0,0,-25204
5,1,28,0,0,0,0,0,7708,0,0,0,0,6478,0,0,0,0,6478,-72981
5,1,31,0,0,0,0,0,7708,0,0,0,0,6478,0,0,0,0,0,-14832
5,1,37,0,0,0,0,0,7708,0,0,0,0,0,7708,0,0,0,0,-9743
5,1,46,0,0,0,0,0,7708,0,0,0,0,0,0,8692,0,0,0,-75070
5,1,55,0,0,0,0,0,0,8692,0,0,0,0,6478,0,0,0,0,-13117
5,1,64,0,0,0,0,0,0,8692,0,0,0,0,0,7708,0,0,0,-71606
5,1,73,0,0,0,0,0,0,8692,0,0,0,0,0,0,8692,0,0,-72904
6,1,1,0,0,0,0,3926,0,0,0,0,3926,0,0,0,0,3926,0,-92564
6,1,4,0,0,0,0,3926,0,0,0,0,3926,0,0,0,0,0,4706,-68999
6,1,7,0,0,0,0,3926,0,0,0,0,3926,0,0,0,0,0,0,-35099
6,1,10,0,0,0,0,3926,0,0,0,0,0,4706,0,0,0,0,3926,-65176
6,1,13,0,0,0,0,3926,0,0,0,0,0,4706,0,0,0,0,0,-28089
6,1,19,0,0,0,0,3926,0,0,0,0,0,0,5330,0,0,0,0,-29232
6,1,28,0,0,0,0,0,4706,0,0,0,0,3926,0,0,0,0,3926,-59559
6,1,31,0,0,0,0,0,4706,0,0,0,0,3926,0,0,0,0,0,-22472
6,1,37,0,0,0,0,0,4706,0,0,0,0,0,4706,0,0,0,0,-18932
6,1,46,0,0,0,0,0,4706,0,0,0,0,0,0,5330,0,0,0,-57946
6,1,55,0,0,0,0,0,0,5330,0,0,0,0,3926,0,0,0,0,-20614
6,1,64,0,0,0,0,0,0,5330,0,0,0,0,0,4706,0,0,0,-55291
6,1,73,0,0,0,0,0,0,5330,0,0,0,0,0,0,5330,0,0,-55317
7,1,1,0,0,0,0,4644,0,0,0,0,4644,0,0,0,0,4644,0,-52396
7,1,4,0,0,0,0,4644,0,0,0,0,4644,0,0,0,0,0,5427,-28277
7,1,7,0,0,0,0,4644,0,0,0,0,4644,0,0,0,0,0,0,6454
7,1,10,0,0,0,0,4644,0,0,0,0,0,5427,0,0,0,0,4644,-25558
7,1,13,0,0,0,0,4644,0,0,0,0,0,5427,0,0,0,0,0,12058
7,1,19,0,0,0,0,4644,0,0,0,0,0,0,6075,0,0,0,0,10339
7,1,28,0,0,0,0,0,5427,0,0,0,0,4644,0,0,0,0,4644,-21562
7,1,31,0,0,0,0,0,5427,0,0,0,0,4644,0,0,0,0,0,16054
7,1,37,0,0,0,0,0,5427,0,0,0,0,0,5427,0,0,0,0,18573
7,1,46,0,0,0,0,0,5427,0,0,0,0,0,0,6075,0,0,0,-29497
7,1,55,0,0,0,0,0,0,6075,0,0,0,0,4644,0,0,0,0,16045
7,1,64,0,0,0,0,0,0,6075,0,0,0,0,0,5427,0,0,0,-28101
7,1,73,0,0,0,0,0,0,6075,0,0,0,0,0,0,6075,0,0,-30498
8,1,1,0,0,0,0,4077,0,0,0,0,4077,0,0,0,0,4077,0,-96122
8,1,4,0,0,0,0,4077,0,0,0,0,4077,0,0,0,0,0,4887,-71651
8,1,7,0,0,0,0,4077,0,0,0,0,4077,0,0,0,0,0,0,-36447
